id,make,model,trim,type,price,mileage,src,year,image-type
1101,HYUNDAI,SONATA,SEL,sedan,19300,8348,cdnblob.carvana.io/2000288628/post-large/normalized/cropped/2000288628-edc-02.jpg?v=2019.4.11_23.2.33,2018,original
1102,MERCEDES-BENZ,C-CLASS,C 300 4MATIC,sedan,24800,25194,cdnblob.carvana.io/2000286914/post-large/normalized/cropped/2000286914-edc-02.jpg?v=2019.4.11_23.1.19,2016,original
1103,VOLKSWAGEN,PASSAT,2.0T SE,sedan,21500,4565,cdnblob.carvana.io/2000290982/post-large/normalized/cropped/2000290982-edc-02.jpg?v=2019.4.10_7.19.32,2018,original
1104,LEXUS,IS,IS 250,sedan,22700,27192,cdnblob.carvana.io/2000288665/post-large/normalized/cropped/2000288665-edc-02.jpg?v=2019.4.12_8.1.3,2015,original
1105,VOLKSWAGEN,PASSAT,2.0T SE,sedan,20000,12284,cdnblob.carvana.io/2000291311/post-large/normalized/cropped/2000291311-edc-02.jpg?v=2019.4.9_18.40.17,2018,original
1106,HYUNDAI,ACCENT,SE,sedan,14700,7673,cdnblob.carvana.io/2000283513/post-large/normalized/cropped/2000283513-edc-02.jpg?v=2019.4.10_14.52.7,2018,original
1107,MERCEDES-BENZ,E-CLASS,E 350 4MATIC,sedan,29300,23300,cdnblob.carvana.io/2000286949/post-large/normalized/cropped/2000286949-edc-02.jpg?v=2019.4.11_18.35.30,2016,original
1108,FORD,FUSION,SE,sedan,20100,476,cdnblob.carvana.io/2000285954/post-large/normalized/cropped/2000285954-edc-02.jpg?v=2019.4.10_23.9.27,2018,original
1109,MERCEDES-BENZ,C-CLASS,C 300,sedan,25600,31526,cdnblob.carvana.io/2000285001/post-large/normalized/cropped/2000285001-edc-02.jpg?v=2019.4.12_14.45.36,2016,original
1110,FORD,FOCUS,Titanium,sedan,16900,15874,cdnblob.carvana.io/2000286037/post-large/normalized/cropped/2000286037-edc-02.jpg?v=2019.4.11_13.51.42,2018,original
1111,NISSAN,SENTRA,FE+ S,sedan,14000,14658,cdnblob.carvana.io/2000274476/post-large/normalized/cropped/2000274476-edc-02.jpg?v=2019.4.11_1.27.46,2016,original
1112,TOYOTA,AVALON,XLE Premium,sedan,19700,23029,cdnblob.carvana.io/2000246483/post-large/normalized/cropped/2000246483-edc-02.jpg?v=2019.4.11_4.22.3,2015,original
1113,LEXUS,ES,ES 350,sedan,26200,22938,cdnblob.carvana.io/2000288246/post-large/normalized/cropped/2000288246-edc-02.jpg?v=2019.4.10_4.20.58,2016,original
